time_s,active,flight_phase,control_mode,ra_ft,ias_kt,ground_speed_kt,vs_fpm,latitude_deg,longitude_deg,heading_deg,track_magnetic_deg,roll_deg,pitch_deg,body_pitch_rate_deg_s,flight_path_angle_deg,estimated_aoa_deg,mach,lateral_deviation,runway_heading_deg,loc_ddm,gs_ddm,loc_dots,gs_dots,target_heading_deg,target_roll_deg,target_vs_fpm,target_flight_path_angle_deg,target_pitch_deg,vertical_correction_deg,configured_aoa_deg,reference_aoa_deg,flaps_angle_deg,slats_angle_deg,flap_configuration,landing_weight_kg,target_ias_kt,vapp_kt,vsr1_kt,vfe_kt,alpha_prot_deg,alpha_sw_deg,alpha_margin_deg,roll_limit_deg,flare_armed,flare_active,flare_progress,flare_entry_ra_ft,flare_entry_vs_fpm,body_norm_accel_g,left_throttle_angle_deg,right_throttle_angle_deg,stabilizer_angle_deg,elevator_left_angle_deg,elevator_right_angle_deg,aileron_left_angle_deg,aileron_right_angle_deg,rudder_angle_deg,wind_direction_true_deg,wind_speed_kt,nose_gear_wow,left_gear_wow,right_gear_wow,main_gear_touchdown,eng_left_thrust,eng_right_thrust,envelope_warnings,touchdown_vs_limit_fpm,touchdown_speed_min_kt,touchdown_speed_max_kt,touchdown_pitch_limit_deg,aileron_cmd_deg,elevator_cmd,rudder_cmd_deg,throttle_left_rate_cmd_deg_s,throttle_right_rate_cmd_deg_s,throttle_cmd_norm,throttle_target_angle_deg,throttle_left_position_cmd_norm,throttle_right_position_cmd_norm,roll_kp,roll_ki,roll_kd,roll_i_term,pitch_kp,pitch_ki,pitch_kd,pitch_i_term,speed_kp,speed_ki,speed_kd,speed_i_term,criteria_course_error_deg,criteria_glideslope_error_deg,criteria_status
0.005827500001032604,1,5,Approach,2337.54517,175.950577,185.984,-81.76028,55.937232971191406,37.187347412109375,64.02431,54.91255,0.8983917,0.6159668,-0.0381513126,-0.2487206952940327,0.8646874952940328,0.2782124418783362,0.0,64.0,0.000952669943,0.0866458,0.0061462576967741935,-0.49511885714285714,64.06146257696774,6.404238803877422,-900.0,-2.7358013485212282,0.6072255499984511,-0.81823972,7.1,2.0,26.9518318,27.96318,FLAPS_3,69277.0,175.94912012499975,140.0,113.6,183.0,12.90446889530416,13.6,12.039781400010126,15.0,0,0,0.0,150.0,-81.76028,-0.0119983768,26.4809113,26.5443573,-3.57548,-0.278942257,-0.2788751,1.24833822,-1.24901533,0.408373326,154.0,29.1999989,1,0,0,0,60.04614,60.173912,,472.0,134.4,150.0,8.1,-10.0,-0.00174847922866455,0.0,0.024970768754007056,-0.025786031245994993,0.47598980135640884,26.512631935551973,0.47598980135640884,0.47598980135640884,-7,-0.35,-0.6,-0.0,0.2,0.0045,0.06,-2.2922835476873622e-07,0.005,0.0,0.005,-0.0,9.08744999999999,2.7512793047059674,WAITING_CAPTURE
0.007271200000104727,1,5,Approach,2337.68286,175.950775,185.980881,-82.69713,55.937232971191406,37.18751907348633,64.02911,54.9180145,0.9683838,0.613616943,-0.03722134,-0.25157484336888847,0.8651917863688885,0.27821257974261066,0.0,64.0,0.000952669943,0.0866458,0.0061462576967741935,-0.49511885714285714,64.06146257696774,6.40041365387741,-900.0,-2.7358471596829452,0.605059999999843,-0.81730287,7.1,2.0,26.9518318,27.96318,FLAPS_3,69277.0,175.94875919999998,140.0,113.6,183.0,12.904468550643474,13.6,12.039276764274586,15.0,0,0,0.0,150.0,-82.69713,-0.0118116168,26.4809113,26.5443573,-3.57548,-0.282601625,-0.28255713,1.14695549,-1.14703417,0.408550382,154.0,29.1999989,1,0,0,0,60.04609,60.1739426,,472.0,134.4,150.0,8.1,-10.0,-0.0010092545751240736,0.0,0.02470420562125935,-0.0260525943787427,0.4759897839509534,26.51263096606811,0.4759897839509534,0.4759897839509534,-7,-0.35,-0.6,-0.0,0.2,0.0045,0.06,-2.8481981847497765e-07,0.005,0.0,0.005,-0.0,9.081985500000002,2.7484251566311118,WAITING_CAPTURE
0.008084799999778625,1,5,Approach,2337.82,175.950775,185.978058,-83.39124,55.937232971191406,37.18751907348633,64.03265,54.92189,1.014679,0.612091064,-0.03662296,-0.25369023460902906,0.8657812986090291,0.27821257974261066,0.0,64.0,0.000952669943,0.0866458,0.0061462576967741935,-0.49511885714285714,64.06146257696774,6.397700803877416,-900.0,-2.735888624585813,0.603559999999843,-0.8166087599999999,7.1,2.0,26.9518318,27.96318,FLAPS_3,69277.0,175.9485092,140.0,113.6,183.0,12.904468550643474,13.6,12.038687252034444,15.0,0,0,0.0,150.0,-83.39124,-0.0116266757,26.4809113,26.5443573,-3.57548,-0.285799235,-0.285741717,1.11998272,-1.12021863,0.40750882,154.0,29.1999989,1,0,0,0,60.04606,60.1739769,,472.0,134.4,150.0,8.1,-10.0,-0.0005509992977986353,0.0,0.024634207909259603,-0.026122592090742445,0.4759897706487595,26.512630225135908,0.4759897706487595,0.4759897706487595,-7,-0.35,-0.6,-0.0,0.2,0.0045,0.06,-3.2320960647568417e-07,0.005,0.0,0.005,-0.0,9.07811000000001,2.746309765390971,WAITING_CAPTURE
0.008522100000845967,1,5,Approach,2337.90063,175.95108,185.978058,-84.07866,55.937232971191406,37.18751907348633,64.0345154,54.9239044,1.03770447,0.6113281,-0.036309436,-0.25578145466461244,0.8671095546646125,0.27821257974261066,0.0,64.0,0.00167959672,0.08777707,0.010836107870967742,-0.5015832571428571,64.10836107870968,6.429119675096786,-900.0,-2.735888624585813,0.602059999999843,-0.81592134,7.1,2.0,26.9518318,27.96318,FLAPS_3,69277.0,175.9482592,140.0,113.6,183.0,12.904468550643474,13.6,12.037358995978861,15.0,0,0,0.0,150.0,-84.07866,-0.0115507348,26.4809113,26.5443573,-3.57548,-0.288876921,-0.288795382,1.06988668,-1.07171869,0.406167418,154.0,29.1999989,1,0,0,0,60.04603,60.17402,,472.0,134.4,150.0,8.1,-10.0,-0.00047589353812849426,0.0,0.024309292778927346,-0.0264475072210747,0.47598975152855605,26.512629160140573,0.47598975152855605,0.47598975152855605,-7,-0.35,-0.6,-0.0,0.2,0.0045,0.06,-3.6491605647639065e-07,0.005,0.0,0.005,-0.0,9.076095600000002,2.7442185453353876,WAITING_CAPTURE
0.009301500002038665,1,5,Approach,2337.989,175.95108,185.975113,-84.98652,55.937232971191406,37.18751907348633,64.03845,54.92804,1.08348083,0.6098175,-0.035663,-0.2585473746019909,0.868364874601991,0.27821257974261066,0.0,64.0,0.00167959672,0.08777707,0.010836107870967742,-0.5015832571428571,64.10836107870968,6.426224755096777,-900.0,-2.7359318827925696,0.6005599999998431,-0.81501348,7.1,2.0,26.9518318,27.96318,FLAPS_3,69277.0,175.9480092,140.0,113.6,183.0,12.904468550643474,13.6,12.036103676041483,15.0,0,0,0.0,150.0,-84.98652,-0.011404247,26.4809113,26.5443573,-3.57548,-0.292849064,-0.292790443,1.01070762,-1.01113462,0.403458029,154.0,29.1999989,1,0,0,0,60.0459976,60.1740646,,472.0,134.4,150.0,8.1,-10.0,-2.863952040838176e-05,0.0,0.024239318775892398,-0.026517481224109647,0.47598973116837495,26.512628026078485,0.47598973116837495,0.47598973116837495,-7,-0.35,-0.6,-0.0,0.2,0.0045,0.06,-4.065748064770967e-07,0.005,0.0,0.005,-0.0,9.07195999999999,2.741452625398009,WAITING_CAPTURE
0.009833000000071479,1,5,Approach,2338.29053,175.9514,185.975113,-85.88281,55.937232971191406,37.18769073486328,64.04262,54.932373,1.12886047,0.608322144,-0.0350197665,-0.26127404502744894,0.8695961890274488,0.2782127645716379,0.0,64.0,0.00167959672,0.08777707,0.010836107870967742,-0.5015832571428571,64.10836107870968,6.423191655096775,-900.0,-2.7359318827925696,0.5990599999998432,-0.8141171899999999,7.1,2.0,26.9518318,27.96318,FLAPS_3,69277.0,175.9477592,140.0,113.6,183.0,12.904468088570905,13.6,12.034871899543456,15.0,0,0,0.0,150.0,-85.88281,-0.01125941,26.4809113,26.5443573,-3.57548,-0.295223,-0.2951639,1.02483,-1.02455056,0.400726467,154.0,29.1999989,1,0,0,0,60.0459671,60.17411,,472.0,134.4,150.0,8.1,-10.0,0.00040878356743323475,0.0,0.023901892778903446,-0.026854907221098602,0.4759897047713941,26.51262655576665,0.4759897047713941,0.4759897047713941,-7,-0.35,-0.6,-0.0,0.2,0.0045,0.06,-4.4825445447780225e-07,0.005,0.0,0.005,-0.0,9.067627000000016,2.738725954972551,WAITING_CAPTURE
0.010226700000202982,1,5,Approach,2338.52441,175.95192,185.971,-86.99088,55.93740463256836,37.18769073486328,64.04935,54.9391937,1.19619751,0.6061096,-0.0339654572,-0.26465083839237585,0.8707604383923759,0.2782127645716379,0.0,64.0,0.00246127462,0.08899361,0.015879191096774194,-0.5085349142857143,64.15879191096774,6.453718747677422,-900.0,-2.7359922996827195,0.5975599999998432,-0.8130091199999999,7.1,2.0,26.9518318,27.96318,FLAPS_3,69277.0,175.9475092,140.0,113.6,183.0,12.904468088570905,13.6,12.03370765017853,15.0,0,0,0.0,150.0,-86.99088,-0.0110713588,26.4809113,26.5443573,-3.57548,-0.300750852,-0.300705343,0.8973015,-0.897689,0.396132976,154.0,29.1999989,1,0,0,0,60.0459023,60.1742,,472.0,134.4,150.0,8.1,-10.0,0.0012020803690486507,0.0,0.0233974304554105,-0.027359369544591543,0.4759896693459793,26.51262458257105,0.4759896693459793,0.4759896693459793,-7,-0.35,-0.6,-0.0,0.2,0.0045,0.06,-4.867276544785078e-07,0.005,0.0,0.005,-0.0,9.060806299999996,2.735349161607624,WAITING_CAPTURE
0.010932799999864073,1,5,Approach,2338.55884,175.95192,185.967743,-87.86436,55.93740463256836,37.187862396240234,64.05414,54.94397,1.240509,0.6046753,-0.0332793072,-0.26731285451863257,0.8719881545186325,0.2782127645716379,0.0,64.0,0.00246127462,0.08899361,0.015879191096774194,-0.5085349142857143,64.15879191096774,6.4503753376774196,-900.0,-2.7360401444655675,0.5960599999998433,-0.8121356399999999,7.1,2.0,26.9518318,27.96318,FLAPS_3,69277.0,175.94725920000002,140.0,113.6,183.0,12.904468088570905,13.6,12.032479934052272,15.0,0,0,0.0,150.0,-87.86436,-0.0109304488,26.4809113,26.5443573,-3.57548,-0.303147823,-0.303093463,0.8622751,-0.862856567,0.393427879,154.0,29.1999989,1,0,0,0,60.0458755,60.1742554,,472.0,134.4,150.0,8.1,-10.0,0.0016035915758387982,0.0,0.023327660476420306,-0.027429139523581746,0.4759896326972807,26.512622541238535,0.4759896326972807,0.4759896326972807,-7,-0.35,-0.6,-0.0,0.2,0.0045,0.06,-5.254965044792132e-07,0.005,0.0,0.005,-0.0,9.056029999999993,2.7326871454813673,WAITING_CAPTURE
0.011661000000458444,1,5,Approach,2339.11353,175.952423,185.967743,-89.36916,55.93740463256836,37.187862396240234,64.05788,54.9476624,1.273407,0.6035919,-0.0327499434,-0.2718908927076709,0.8754827927076709,0.2782129494006651,0.0,64.0,0.00246127462,0.08899361,0.015879191096774194,-0.5085349142857143,64.15879191096774,6.447790657677416,-900.0,-2.7360401444655675,0.5945599999998433,-0.8106308400000001,7.1,2.0,26.9518318,27.96318,FLAPS_3,69277.0,175.94700920000002,140.0,113.6,183.0,12.904467626498338,13.6,12.028984833790666,15.0,0,0,0.0,150.0,-89.36916,-0.0107900612,26.4809113,26.5443573,-3.57548,-0.307390571,-0.307338029,0.844303,-0.8443143,0.388873219,154.0,29.1999989,1,0,0,0,60.04583,60.1743622,,472.0,134.4,150.0,8.1,-10.0,0.001827845369969622,0.0,0.022837520515413483,-0.027919279484588565,0.4759895872852714,26.51262001178962,0.4759895872852714,0.4759895872852714,-7,-0.35,-0.6,-0.0,0.2,0.0045,0.06,-5.661400544799181e-07,0.005,0.0,0.005,-0.0,9.052337599999987,2.728109107292329,WAITING_CAPTURE
0.012358300002233591,1,5,Approach,2339.069,175.953033,185.963745,-90.00477,55.93740463256836,37.187862396240234,64.06177,54.9514771,1.30603027,0.602539063,-0.0322098136,-0.2738304885128734,0.8763695515128734,0.27821399020018733,0.0,64.0,0.003187359,0.09012194,0.0205636064516129,-0.5149825142857143,64.20563606451613,6.477911275161295,-900.0,-2.7360988766999434,0.5930599999998434,-0.80999523,7.1,2.0,26.9518318,27.96318,FLAPS_3,69277.0,175.94675920000003,140.0,113.6,183.0,12.904465024499531,13.6,12.028095472986658,15.0,0,0,0.0,150.0,-90.00477,-0.0106828678,26.4809113,26.5443573,-3.57548,-0.3114521,-0.31141746,0.7627599,-0.7631003,0.3842852,154.0,29.1999989,1,0,0,0,60.0458031,60.1744461,,472.0,134.4,150.0,8.1,-10.0,0.002035304302552264,0.0,0.02225813634979942,-0.02849866365020263,0.4759895315160074,26.512616905441615,0.4759895315160074,0.4759895315160074,-7,-0.35,-0.6,-0.0,0.2,0.0045,0.06,-6.087958379806231e-07,0.005,0.0,0.005,-0.0,9.048522899999995,2.7261695114871265,WAITING_CAPTURE
